<?xml version="1.0" encoding="UTF-8"?>
Indicatif présent
Premier groupe

comander
P6	aient (3)

estre1
P1	soie (3)
P2	soiez (5), soies (2)
P3	soit (36)
P4	soions (4), seions (1)
P5	soiez (6)
P6	soient (14)

Les verbes irréguliers

aler
P2	voises (2)
P3	voist (4)
P5	ailliez (1), aillez (1)

devoir
P1	doie (2)
P3	doie (2)
P4	doiomes (1)

faire
P1	face (1)
P2	faces (2)
P3	face (5)
P5	faciez (1)
P6	facent (2)

pöoir
P1	puisse (3)
P2	puisses (7)
P3	puisse (13), puist (9)
P4	puissons (10)
P5	puissiez (5)
P6	puissent (12)

savoir
P2	saces (5)
P3	sace (8), sache (1)
P4	saçons (1)
P5	sace (1), sachiez (1)
P6	sacent (2)

voloir
P3	voelle (5)
P6	voellent (1)

Indicatif imparfait
Premier groupe

comander
P3	conmandoit (2), comandoit (1)

comencier
P3	coumençoit (1), començoit (1)
P6	començoient (1)

laissier
P3	lessoit (4)
P4	lessions (1)
P6	lessoient (2), leissoient (1)

priier
P3	prioit (4), proioit (3)
P6	prioient (1), proioient (1)

Deuxième groupe

dire
P1	disoie (2)
P3	disoit (75)
P4	disions (1)
P6	disoient (29)

tenir1
P3	tenoit (26)
P6	tenoient (6)

venir
P2	venoies (1)
P3	venoit (30)
P4	venions (2)
P6	venoient (29)

öir
P3	ooit (12)
P4	oïmes (1)
P6	ooient (7)

Troisième groupe

croire
P3	creoit (4)
P6	creoient (8)

entendre
P3	entendoit (13)
P6	entendoient (2)

metre2
P3	metoit (3)
P6	metoient (1)

recevoir
P6	recevoient (3)

repondre
P6	reponoient (1)

soloir
P2	soloies (1)
P3	soloit (23)
P5	soliez (1)
P6	soloient (9)

vëoir
P3	veoit (15)
P6	veoient (15)

Les auxiliaires avoir et être

avoir
P1	avoie (12)
P2	avoies (3)
P3	avoit (802)
P4	avions (3)
P5	aviez (2)
P6	avoient (191)

estre1
P1	estoie (8), estions (3)
P2	estoies (2)
P3	estoit (870), ert (24), iert (2)
P4	estions (11)
P6	estoient (347), erent (18)

Les verbes irréguliers

aler
P3	aloit (31)
P4	alions (3)
P6	aloient (18)

cuidier1
P1	cuidoie (1)
P3	cuidoit (16)
P5	cuidiez (1)
P6	cuidoient (13)

devoir
P3	devoit (44)
P4	devions (2)
P6	devoient (23)

faire
P2	fesoies (1)
P3	fesoit (29), faisoit (16), feisoit (2), faissoit (1)
P4	fesions (1), faisions (1)
P6	fesoient (17), faisoient (8), feisoient (2), faissoient (2)

pöoir
P1	pooie (2)
P3	pooit (55)
P6	pooient (21)

savoir
P2	savoies (1)
P3	savoit (55)
P4	savions (1)
P6	savoient (28)

voloir
P1	voloie (1)
P2	voloies (4)
P3	voloit (97)
P4	volions (1)
P6	voloient (21)

Subjonctif imparfait
Premier groupe

comander
P2	comandastes (1)
P3	comandast (4), conmandast (1)
P6	comandassent (1)

comencier
P3	conmençast (1)

laissier
P2	lesses (1)
P3	lessast (13)
P4	lessissons (1)
P6	lessassent (5), lessasent (1)

priier
P1	proiasse (1)
P3	proiast (3), priast (1)
P4	preïssons (1)
P6	proiassent (2)

Deuxième groupe

dire
P3	deïst (10)
P5	deïssiez (1)
P6	deïssent (2)

tenir1
P3	tenist (9)
P6	tenissent (1)

venir
P1	venisse (3)
P3	venist (16)
P6	venissent (9)

Troisième groupe

croire
P6	creüssent (2)

entendre
P3	entendist (5)
P6	entendissent (1)

metre2
P3	meïst (8)
P6	meïssent (4)

recevoir
P3	receüst (1)
P6	receüssent (1)

vëoir
P2	veïsses (1)
P3	veïst (4)
P5	veïssiez (6)
P6	veïssent (1)

Les auxiliaires avoir et être

avoir
P1	eüsse (2)
P2	eüsses (1)
P3	eüst (47), euïst (3), eust (1)
P5	eüssiez (1)
P6	eüssent (12)

estre1
P1	fusse (5)
P2	fusses (2), fusces (1)
P3	fust (125)
P4	fussions (1)
P5	fussiez (1)
P6	fussent (36)

Les verbes irréguliers

aler
P1	alasse (1)
P3	alast (14)
P6	alassent (11)

cuidier1
P3	cuidast (5)
P4	cuidissions (1)
P5	cuidissiez (3)

devoir
P1	deüsse (1)
P3	deüst (12), deuïst (1)

faire
P1	feïsse (1)
P3	feïst (29), feïsse (1)
P4	feïssons (1)
P5	feïsses (1)
P6	feïssent (13)

pöoir
P2	peüsses (1)
P3	peüst (44)
P5	peüssiez (2)
P6	peüssent (20)

savoir
P1	seüsse (1)
P3	seüst (12)
P5	seüssiez (1)
P6	seüssent (7)

voloir
P3	vousist (15), volsist (1)
P5	vousisses (1)
P6	vousissent (2)

Indicatif parfait
Premier groupe

comander
P2	conmandas (1), comandas (1)
P3	comanda (55), conmanda (34), coumanda (4), coumada (1), comamda (1)
P6	comanderent (5), conmanderent (2)

comencier
P1	començai (2)
P3	comença (91), conmença (44), coumença (15), conmança (1), commença (1)
P4	conmençames (2), començames (1)
P6	comencierent (29), conmencierent (25), coumencierent (2)

laissier
P1	lessai (1), laissai (1)
P2	lessas (1)
P3	lessa (39)
P6	lessierent (21)

priier
P1	prié (1), priai (1)
P3	proia (41), pria (1), prioa (1)
P4	proiames (1)
P6	proierent (24), priierent (2)

Deuxième groupe

dire
P1	dis (5), diz (1)
P2	deïs (3), rendi (1)
P3	dist (405), dit (13)
P4	deïsmes (1)
P6	distrent (72)

tenir1
P1	ting (1)
P3	tint (16)
P6	tindrent (5)

venir
P1	ving (5)
P2	venis (3)
P3	vint (233)
P4	venimes (6)
P5	venistes (2)
P6	vindrent (75), vinrent (1)

öir
P1	oï (4)
P3	oï (109)
P4	oïmes (1), oïsmes (1)
P6	oïrent (29)

Troisième groupe

croire
P1	crui (2)
P3	crut (10)
P6	crurent (2)

entendre
P3	entendi (20)
P5	entendez (1)
P6	entendirent (3)

metre2
P2	mis (1), meïs (1)
P3	mist (51)
P6	mistrent (32), misent (3)

recevoir
P3	reçut (21), rechut (3)
P6	reçurent (3), reciurent (1)

repondre
P3	repost (2)

vëoir
P1	vi (9), viç (9)
P2	veïs (2)
P3	vit (137), revist (1)
P4	veïmes (11), veïsmes (1)
P6	virent (67)

Les auxiliaires avoir et être

avoir
P1	oi (7)
P3	ot (240), eüst (1), out (1), eut (1)
P4	eümes (6), eüsmes (1)
P5	eüstes (1)
P6	orent (58), aeurent (1), eurent (1)

estre1
P1	fui (13)
P2	fus (3)
P3	fu (565)
P4	fumes (4), fusmes (1)
P5	fustes (2)
P6	furent (130)

Les verbes irréguliers

aler
P1	alai (6)
P3	ala (130)
P4	alames (10)
P6	alerent (44)

cuidier1
P1	quidai (1)
P3	cuida (4)
P4	cuidames (2)
P6	cuidierent (7)

devoir
P3	dut (5)
P4	deümes (1)
P6	durent (2)

faire
P1	fis (2)
P2	feïs (5), feïz (1)
P3	fist (199), font (1), fait (1)
P4	feïmes (2)
P5	feïstes (3)
P6	firent (51), fissent (1)

pöoir
P1	poi (1)
P3	pot (34), pout (3)
P4	peümes (2)
P6	porent (18), porrent (6)

savoir
P3	sot (52), sout (1)
P6	sorent (30)

voloir
P1	voil (1)
P2	vousis (1)
P3	vout (60), volt (6)
P5	vousistes (1)
P6	voudrent (7), vourent (1)


Indicatif futur
Premier groupe

comander
P3	comandera (1)

laissier
P4	lairons (1)
P6	lesseront (1)

priier
P4	proierons (1)

Deuxième groupe

dire
P1	dirai (21)
P2	diras (2)
P4	dirons (2)

tenir1
P1	tenrai (1), tendrai (1)
P3	tendra (1)
P6	tendront (1)

venir
P1	vendrai (1)
P2	vendras (3)
P3	vendra (2), vendrai (2)
P6	vendront (2)

öir
P4	orrons (1)
P5	orrez (1), orroiz (1)
P6	orront (1)

Troisième groupe

croire
P1	cremirai (1), croirai (1)
P3	croira (3)
P4	croirons (1), creons (1)

entendre
P4	entenderons (1)

metre2
P1	meterai (1)

recevoir
P1	recevrai (1)
P3	recevera (1)

vëoir
P1	verrai (1)
P5	verroiz (2)
P6	verront (1)

Les auxiliaires avoir et être

avoir
P1	aurai (1)
P2	auras (1)
P3	aura (5), aurai (2), a (2)
P5	aurez (1), auroiz (1)
P6	auront (5), averont (2)

estre1
P1	serai (3), seras (1)
P2	seras (4), serras (2)
P3	sera (23), serra (3), iert (1)
P6	seront (7)

Les verbes irréguliers

aler
P2	iras (3)
P3	ira (1)
P4	irons (1)
P6	iront (1)

faire
P1	ferai (6)
P2	feras (2)
P3	fera (6)
P5	feroiz (1)
P6	feront (3)

pöoir
P1	porrai (2)
P2	porras (2)
P3	porra (2), porai (1)
P5	porrez (1), porroiz (1)

savoir
P1	saurai (1)
P3	saurai (1), saura (1)
P5	sauroiz (1)

voloir
P1	voldrai (1), voudrai (1)
P3	voudra (3)
P5	voudroiz (1)

Conditionnel
Premier groupe

comander
P3	conmanderoit (1)

laissier
P3	lairoit (1)
P6	lesseroient (1)

Deuxième groupe

dire
P1	diroie (6)
P3	diroit (3)
P6	diroient (1)

tenir1
P3	tendroit (1)

venir
P3	vendroit (4)
P6	vendroient (5)

öir
P3	orroit (1)
P4	orrions (1)

Troisième groupe

croire
P2	creroies (1)

entendre
P3	entenderoit (1)

metre2
P3	meteroit (1), metroit (1)

recevoir
P3	receveroit (2)
P6	recevroient (1)

repondre
P3	repondroit (1)

vëoir
P3	verroit (1)
P6	verroient (1)

Les auxiliaires avoir et être

avoir
P2	auroies (1)
P3	auroit (14), averoit (3)
P4	aurions (1)
P5	auroiz (1)
P6	auroient (3)

estre1
P1	seroie (1)
P2	seroies (1)
P3	seroit (40)
P6	seroient (2)

Les verbes irréguliers

aler
P1	iroie (1)
P3	iroit (9)
P4	irions (1)
P6	iroient (3)

devoir
P2	deveroies (1)
P3	deveroit (3), devroit (2)
P6	devroient (2), deveroient (1)

faire
P3	feroit (15)
P6	feroient (9)

pöoir
P1	porroie (1), poroie (1)
P3	porroit (29), poroit (2)
P4	porrions (1)
P6	porroient (5), poroient (1)

savoir
P3	sauroit (4)
P6	sauroient (1)

voloir
P1	voudroie (4)
P3	voudroit (6)
P4	voudrions (2)

Impératif
Premier groupe

comander
P2	comande (2), conmande (1)
P5	conmandez (1)

comencier
P2	conmence (1)

laissier
P2	lai (4), lesse (1)
P4	lessons (4), leissons (1)
P5	lessiez (5)

priier
P2	proie (3)
P4	proions (7)
P5	proiez (2)

Deuxième groupe

dire
P2	di (4)
P5	dites (3)

tenir1
P4	tenons (1)
P5	tenez (1)

venir
P2	vien (2), viens (1)
P5	venez (1)

öir
P5	oez (1)

Troisième groupe

croire
P2	creez (1)
P5	creez (1)

entendre
P2	entent (3)
P5	entendez (2)

metre2
P2	met (3)
P5	metez (1)

recevoir
P2	rechoif (1)
P5	recevez (1)

vëoir
P2	vois (1)
P5	veez (7)

Les auxiliaires avoir et être

avoir
P2	aies (5)
P5	aiez (3)

estre1
P5	soiez (1)

Les verbes irréguliers

aler
P2	va (7)
P4	alons (1)
P5	alez (10)

cuidier1
P5	cuidiez (1)

faire
P2	fai (6), fei (1)
P5	fetes (3)

savoir
P2	saces (14), saches (4)
P5	sachiez (30), saciez (19), sacez (1), saciés (1)
